Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/29/2022,05/01/2022,JC  JC HVAC MECHANICAL,Home,Sale,-1400.50,
04/30/2022,05/01/2022,Amazon Digit*1Q2ZF30V2,Shopping,Sale,-0.85,
04/27/2022,04/28/2022,AMZN Mktp US*1O57P1RZ0,Shopping,Sale,-10.59,
04/26/2022,04/27/2022,Amazon.com*1Q7RF8KZ1,Shopping,Sale,-25.59,
04/24/2022,04/26/2022,Kusshi,Food & Drink,Sale,-116.00,
04/23/2022,04/24/2022,TST* BEN GONG'S TEA - GAI,Food & Drink,Sale,-21.05,
04/23/2022,04/24/2022,AMZN Mktp US*1Q9A89EQ1,Shopping,Sale,-14.83,
04/24/2022,04/24/2022,Prime Video*1Q3FA5GR1,Shopping,Sale,-4.23,
04/22/2022,04/22/2022,Payment Thank You-Mobile,,Payment,1320.00,
04/20/2022,04/21/2022,TST* BEN GONG'S TEA - ELL,Food & Drink,Sale,-7.15,
04/19/2022,04/21/2022,SEOUL GOOL DAE GEE,Food & Drink,Sale,-14.83,
04/19/2022,04/21/2022,JC JC HVAC MECHANICAL,Home,Sale,-79.00,
04/19/2022,04/20/2022,Amazon.com*1A2Y497D2,Shopping,Sale,-58.29,
04/16/2022,04/18/2022,MAPLE LAWN B P,Automotive,Sale,-2.00,
04/17/2022,04/18/2022,Amazon.com*1A7N40BH2,Shopping,Sale,-11.27,
04/18/2022,04/18/2022,Prime Video*1A2HW0BE2,Shopping,Sale,-4.23,
04/17/2022,04/18/2022,Amazon.com*1A1L07H72,Shopping,Sale,-60.26,
04/16/2022,04/17/2022,Amazon.com*1O5N881W1,Shopping,Sale,-10.32,
04/16/2022,04/17/2022,AMZN Mktp US*1A6659PD2,Shopping,Sale,-6.35,
04/16/2022,04/17/2022,Prime Video*1O5WN31V1,Shopping,Sale,-4.23,
04/16/2022,04/17/2022,Amazon.com*1O8D51X21,Shopping,Sale,-37.09,
04/15/2022,04/17/2022,TRADER JOE'S #658  QPS,Groceries,Sale,-152.70,
04/14/2022,04/15/2022,AMZN Mktp US*1O5I35ZJ1,Shopping,Sale,-11.66,
04/13/2022,04/13/2022,Amazon.com*1A8CU0C72,Shopping,Sale,-10.00,
04/11/2022,04/12/2022,Amazon.com*1H1BT59T2,Shopping,Sale,-9.51,
04/07/2022,04/08/2022,MCDONALD'S F33966,Food & Drink,Sale,-10.25,
